study_id,year,model,learning_regime,dataset_variant,split_or_protocol,accuracy_pct,balanced_accuracy_pct,auc_roc,f1_pct,precision_pct,recall_pct,specificity_pct,nll,comparability,verification,notes,accuracy_sd,auc_sd,protocol_family,study_title,source_url,evidence_locator
veeling2018,2018,G-DenseNet D4,supervised scratch,official PCam,262144/32768/32768; WSI-disjoint,89.8,89.8,0.963,,,,,0.260,high,primary paper and official repository,Original canonical benchmark; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam,Rotation Equivariant CNNs for Digital Pathology,https://arxiv.org/abs/1806.03962,paper and official PCam repository benchmark table
kassani2019,2019,VGG19+MobileNetV2+DenseNet201 features + MLP,transfer ensemble,modified PCam/Kaggle,authors' modified split,94.64,94.64,,95.50,95.70,95.27,,,low,primary paper,Not directly comparable with official split; Review scope: model fitted/adapted and evaluated on PCam.,,,modified_pcam_kaggle,Classification of Histopathological Biopsy Images Using Ensemble of Deep Learning Networks,https://arxiv.org/abs/1909.11870,Tables 2–4
kassani2019_vgg,2019,VGG19,transfer learning,modified PCam/Kaggle,authors' modified split,90.84,90.84,,,,,,,low,primary paper,Single-model baseline; Review scope: model fitted/adapted and evaluated on PCam.,,,modified_pcam_kaggle,Classification of Histopathological Biopsy Images Using Ensemble of Deep Learning Networks,https://arxiv.org/abs/1909.11870,Tables 2–4
kassani2019_mobilenet,2019,MobileNetV2,transfer learning,modified PCam/Kaggle,authors' modified split,89.09,89.09,,,,,,,low,primary paper,Single-model baseline; Review scope: model fitted/adapted and evaluated on PCam.,,,modified_pcam_kaggle,Classification of Histopathological Biopsy Images Using Ensemble of Deep Learning Networks,https://arxiv.org/abs/1909.11870,Tables 2–4
kassani2019_dense,2019,DenseNet201,transfer learning,modified PCam/Kaggle,authors' modified split,87.84,87.84,,,,,,,low,primary paper,Single-model baseline; Review scope: model fitted/adapted and evaluated on PCam.,,,modified_pcam_kaggle,Classification of Histopathological Biopsy Images Using Ensemble of Deep Learning Networks,https://arxiv.org/abs/1909.11870,Tables 2–4
kandel2020,2020,15-layer CNN Adam,supervised scratch,PCam/Kaggle,220k train; 57k Kaggle test,,,0.9546,,,,,,low,primary paper,AUC reported by Kaggle; Review scope: model fitted/adapted and evaluated on PCam.,,,kaggle_hidden_test,A Novel Architecture to Classify Histopathology Images Using Convolutional Neural Networks,https://doi.org/10.3390/app10082929,Kaggle test AUC reported in results section
kandel2020_rmsprop,2020,15-layer CNN RMSProp,supervised scratch,PCam/Kaggle,220k train; 57k Kaggle test,,,0.9486,,,,,,low,primary paper,Review scope: model fitted/adapted and evaluated on PCam.,,,kaggle_hidden_test,A Novel Architecture to Classify Histopathology Images Using Convolutional Neural Networks,https://doi.org/10.3390/app10082929,Kaggle test AUC reported in results section
yu2021_ssl1,2021,InceptionV3 mean teacher,semi-supervised 1% labels,official PCam,test 32768; 8 runs,,,0.947,,,,,,high,primary paper,SD=0.008; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam_restricted_labels,Accurate Recognition of Colorectal Cancer with Semi-Supervised Deep Learning on Pathological Images,https://doi.org/10.1038/s41467-021-26643-8,Figure 6
yu2021_sl1,2021,InceptionV3,supervised 1% labels,official PCam,test 32768; 8 runs,,,0.912,,,,,,high,primary paper,SD=0.008; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam_restricted_labels,Accurate Recognition of Colorectal Cancer with Semi-Supervised Deep Learning on Pathological Images,https://doi.org/10.1038/s41467-021-26643-8,Figure 6
yu2021_ssl5,2021,InceptionV3 mean teacher,semi-supervised 5% labels,official PCam,test 32768; 8 runs,,,0.960,,,,,,high,primary paper,SD=0.002; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam_restricted_labels,Accurate Recognition of Colorectal Cancer with Semi-Supervised Deep Learning on Pathological Images,https://doi.org/10.1038/s41467-021-26643-8,Figure 6
yu2021_sl5,2021,InceptionV3,supervised 5% labels,official PCam,test 32768; 8 runs,,,0.943,,,,,,high,primary paper,SD=0.009; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam_restricted_labels,Accurate Recognition of Colorectal Cancer with Semi-Supervised Deep Learning on Pathological Images,https://doi.org/10.1038/s41467-021-26643-8,Figure 6
yu2021_sl100,2021,InceptionV3,supervised 100% labels,official PCam,test 32768; 8 runs,,,0.961,,,,,,high,primary paper,SD=0.004; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam_restricted_labels,Accurate Recognition of Colorectal Cancer with Semi-Supervised Deep Learning on Pathological Images,https://doi.org/10.1038/s41467-021-26643-8,Figure 6
romero2022_t2,2022,conventional T(2) CNN,supervised scratch,official PCam,official splits,67.59,67.59,,,,,,,high,primary supplement,Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam,Learning Partial Equivariances from Data,https://proceedings.neurips.cc/paper_files/paper/2022/hash/ec51d1fe4bbb754577da5e18eb54e6d1-Abstract-Conference.html,"supplementary material, PCam experiment table"
romero2022_se2full8,2022,SE(2)-G-CNN 8 full,supervised scratch,official PCam,official splits,89.87,89.87,,,,,,,high,primary supplement,Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam,Learning Partial Equivariances from Data,https://proceedings.neurips.cc/paper_files/paper/2022/hash/ec51d1fe4bbb754577da5e18eb54e6d1-Abstract-Conference.html,"supplementary material, PCam experiment table"
romero2022_se2partial16,2022,partial SE(2)-G-CNN 16,supervised scratch,official PCam,official splits,90.31,90.31,,,,,,,high,primary supplement,Approximately 460k parameters; Review scope: model fitted/adapted and evaluated on PCam.,,,official_pcam,Learning Partial Equivariances from Data,https://proceedings.neurips.cc/paper_files/paper/2022/hash/ec51d1fe4bbb754577da5e18eb54e6d1-Abstract-Conference.html,"supplementary material, PCam experiment table"
wang2023_lgvit,2023,LGViT,supervised,PCam,authors' protocol,91.8,91.8,,,,,,,medium,primary metadata plus indexed comparison,Protocol needs reproduction check; Review scope: model fitted/adapted and evaluated on PCam.,,,authors_custom_pcam_protocol,LGViT: Local-Global Vision Transformer for Breast Cancer Histopathological Image Classification,https://doi.org/10.1109/ICASSP49357.2023.10096781,paper result table; full text not legally accessible in review
